dr_eq_id;dr_eq_type_id;stick_name;hand
1;1;BAUER BASICS BL PANT-SR-BLK;Sr M
2;1;A&R;
3;1;Bauer;"96"" "
4;1;Bauer;"96"" 108"" 120"""
5;1;Bauer;L/XL
6;1;Bauer;SR
7;1;Bauer;Sr L
8;1;Bauer;SR.XXL
9;1;Bauer;
10;1;Bauer 4500;S
11;1;Bauer Basics BL LS TOP;Sr L
12;1;BAUER BASICS BL PANT-SR-BLK;Sr L
13;1;BAUER CORE 1.0 JOCK PANT;SR XL
14;1;BAUER CORE 1.0 JOCK SHORT;Sr M
15;1;Bauer Elit Paded Goal LS BL Top;SR S
16;1;Bauer Essential Comp Jock Pant;Sr M
17;1;Bauer EURO PRO;
18;1;Bauer Girdle ACP PRO;INT L
19;1;Bauer Girdle ACP PRO;SR XL
20;1;Bauer GSX;"26"""
21;1;Bauer HYPERL2;"26"""
22;1;Bauer Nexus 3N;P92 87R
23;1;Bauer Nexus E3;P28 77L
24;1;Bauer Nexus E3;P28 87L
25;1;Bauer Nexus E5 PRO;P92 77L
26;1;Bauer Nexus E5 PRO;P92 77R
27;1;Bauer Nexus E5 PRO;P92 87L
28;1;Bauer Nexus E5 PRO;P92 87R
29;1;Bauer Nexus Geo;P92 77L
30;1;Bauer Nexus Geo;P92 77R
31;1;Bauer Nexus Geo;P92 87L
32;1;Bauer Nexus Geo;P92 87R
33;1;Bauer Nexus League;P28 77R
34;1;Bauer Nexus League;P92 77L
35;1;Bauer Nexus League;P92 77R
36;1;Bauer Nexus League;P92 87L
37;1;Bauer Nexus League;P92 95L
38;1;Bauer Nexus SYNC;P92 77L
39;1;Bauer Nexus SYNC;P92 87R
40;1;Bauer NLP7;
41;1;BAUER PERF JOCK PANT-SR;Sr L
42;1;Bauer Performance LOW;L
43;1;Bauer Performance LOW;Xl
44;1;Bauer Performance LS BL Top;Sr L
45;1;Bauer Performance Tall;L
46;1;Bauer Performance Tall;Sr M
47;1;Bauer Performance Tall;Sr XL
48;1;Bauer Premium;Sr M
